FIELD_ID,FLD_NAME,FLD_NAME2,REG_CODE,REG_NAME,COUNTRY,LAT_DD,LON_DD,LOC_ACCY,ON_OFF_LOC,DISC_YR,FIELD_TYPE,SIZE_CLASS,EUR_MMBOE,RSVS_MMBOE,PRV_USGS_C,PRV_USGS_N,BSN_TELL_C,BSN_TELL_N,BSN_BALLY,RSVR_LITH1,RSVR_LITH2,ERA,SYSTEM,SERIES,STAGE,RSVR_DEPFT,RSVR_DEPKM,TRAP_CLASS,TRAP_TYPE
289,Sidi Abderrahman,Cap Bon,F,AFRICA,Tunisia,37.5,10.5,B,Offshore,1970,Gas,Giant,916.667,313.766,2048,Pelagian Basin,BS000000002,ATLAS,TYPE 1,CARBONATE,limestone,Cenozoic,Neogene,Miocene,,,,Unknown,
290,Zevardy,,D,EASTERN EUROPE AND FORMER USSR,Uzbekistan,38.85,64.85,B,Onshore,1968,Gas,Giant,830.85,270.559,1154,Amu-Darya Basin,BS000000066,AMU-DAR'YA,TYPE 2,CARBONATE,limestone,Mesozoic,Jurassic,Upper Jurassic,,8520,2.6,Unknown,
291,Azar field,Anaran Block,E,MIDDLE EAST,Iran,33.029722,46.6075,B,Onshore,2005,Oil,Giant,1000,1000,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,,Mesozoic,Triassic,Upper Triassic,,,,Unknown,
980,Tulley Owo-1,,F,AFRICA,Ghana,4.55,-2.9,D,Offshore,2010,Oil,Giant,500,500,7183,Gulf of Guinea,BS000000087,COTE D'IVOIRE,TYPE 1,UNKNOWN,,Unknown,,,,12762,3.89,Unknown,
292,Pavlovskoye,Perm,D,EASTERN EUROPE AND FORMER USSR,Russia,56.506189,56.072517,A,Onshore,1939,Oil,Giant,500,87.071,1015,Volga-Ural Region,BS000000801,VOLGA - URALS,TYPE 2,CARBONATE,,Paleozoic,Carboniferous,Mississippian,,,,Unknown,
293,Alif,,E,MIDDLE EAST,Yemen,15.572753,45.797308,A,Onshore,1985,Oil,Giant,900,466.261,2004,Ma'Rib-Al Jawf Basin,BS000000292,SAB'ATAYN,TYPE 1,IGNEOUS,granite,Mesozoic,Cretaceous,Lower Cretaceous,,5742,1.75,Structural,Fault Block
294,Qingshen,Zhaozhou Province,G,ASIA AND OCEANIA,China,46.1,125.283333,B,Onshore,2005,Gas,Giant,1250,1250,3144,Songliao Basin,BS000000245,SONGLIAO,TYPE 3,IGNEOUS,lava,Mesozoic,Triassic,Lower Triassic,,,,Unknown,
295,Cantarell,"Includes Akal, Nohoch, Chac, Kutz, and Sihil",A,NORTH AMERICA,Mexico,19.39722,-92.730557,B,Offshore,1977,Oil,Supergiant,18375.593,7559.411,5304,Saline-Comalcalco Basin,BS000000264,SALINAS - SURESTE,TYPE 2,MIXED,dolomitic breccia,Cenozoic,Paleogene,Paleocene,,3281,1,Structural,Anticline
296,Malongo West,,F,AFRICA,Angola,-5.416667,12.05,B,Offshore,1969,Oil,Giant,800,267.053,7203,West-central Coastal,BS000000049,LOWER CONGO,TYPE 1,MIXED,sandstone and carbonates,Mesozoic,Cretaceous,,,5000,1.52,Structural,Anticline
297,Seminole,,A,NORTH AMERICA,United States,35.210014,-96.599686,A,Onshore,1926,Oil,Giant,822,112.544,5060,Cherokee Platform,BS000000371,ANADARKO - HUGOTON,TYPE 2,MIXED,sandstone and limestone,Paleozoic,Silurian,Pridoli,,4400,1.34,Structural,Anticline
298,N'Kossa Marine,,F,AFRICA,Congo (Brazzaville),-5.3,11.516667,B,Offshore,1983,Oil,Giant,500,243.974,7203,West-central Coastal,BS000000049,LOWER CONGO,TYPE 1,MIXED,siliciclastic and carbonate,Mesozoic,Cretaceous,Lower Cretaceous,,,,Structural,Anticline
299,Rafidain,,E,MIDDLE EAST,Iraq,31.9527,46.1751,B,Onshore,1984,Oil,Giant,690,346.852,2024,Mesopotamian Foredeep Basin,BS000000038,WIDYAN - NORTH ARABIAN GULF,TYPE 1,MIXED,carbonates and sandstone,Mesozoic,Cretaceous,Lower Cretaceous,,12516,3.82,Structural,Anticline
