FIELD_ID,FLD_NAME,FLD_NAME2,REG_CODE,REG_NAME,COUNTRY,LAT_DD,LON_DD,LOC_ACCY,ON_OFF_LOC,DISC_YR,FIELD_TYPE,SIZE_CLASS,EUR_MMBOE,RSVS_MMBOE,PRV_USGS_C,PRV_USGS_N,BSN_TELL_C,BSN_TELL_N,BSN_BALLY,RSVR_LITH1,RSVR_LITH2,ERA,SYSTEM,SERIES,STAGE,RSVR_DEPFT,RSVR_DEPKM,TRAP_CLASS,TRAP_TYPE
995,Julia,,A,NORTH AMERICA,United States,26,-92,C,Offshore,2007,Oil,Giant,1000,1000,5097,Gulf Cenozoic OCS,BS000000271,WEST GULF COAST TERTIARY,TYPE 1,UNKNOWN,,Unknown,,,,,,Unknown,
996,Pazflor,,F,AFRICA,Angola,-8.828139,11.86126,C,Offshore,2008,Oil,Giant,590,590,7203,West-central Coastal,BS000000048,KWANZA,TYPE 1,UNKNOWN,,Unknown,,,,,,Unknown,
1,West Qurna,,E,MIDDLE EAST,Iraq,31.1,47.266667,B,Onshore,1973,Oil,Supergiant,11374.167,4204.653,2024,Mesopotamian Foredeep Basin,BS000000038,WIDYAN - NORTH ARABIAN GULF,TYPE 1,CARBONATE,marly limestones,Mesozoic,Cretaceous,Lower Cretaceous,,12139,3.7,Structural,Anticline
2,Bassein,,G,ASIA AND OCEANIA,India,19.166667,72.1,B,Offshore,1977,Gas,Giant,1362.613,560.556,8043,Bombay,BS000000028,MUMBAI - SAURASHTRA,TYPE 2,CARBONATE,limestone,Cenozoic,Neogene,Miocene,,6000,1.83,Structural,Anticline
3,Karanj,,E,MIDDLE EAST,Iran,30.99227,49.87899,B,Onshore,1963,Gas,Supergiant,6513.94,1881.263,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,,Cenozoic,Paleogene,Oligocene,,5492,1.67,Structural,Anticline
4,Rag-E-Safid,,E,MIDDLE EAST,Iran,30.389358,49.861275,A,Onshore,1964,Gas,Supergiant,14980.602,4429.4,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,,Cenozoic,Paleogene,Oligocene,,4400,1.34,Structural,Anticline
5,Pazanan,,E,MIDDLE EAST,Iran,30.56692,50.01747,B,Onshore,1936,Gas,Supergiant,6657.933,1095.06,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,dolomitic limestone,Cenozoic,Paleogene,Oligocene,,4701,1.43,Structural,Anticline
6,Mansuriyah,,E,MIDDLE EAST,Iraq,34.083333,44.916667,B,Onshore,1978,Gas,Giant,600,253.726,2024,Mesopotamian Foredeep Basin,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,limestone,Cenozoic,Paleogene,Oligocene,,4003,1.22,Structural,Anticline
7,Saradjeh,Serajeh,E,MIDDLE EAST,Iran,35,51.5,B,Onshore,1958,Gas,Giant,833.333,214.715,2091,Central Iranian Basins,BS000000018,CENTRAL IRAN - KAVIR,TYPE 2,CARBONATE,,Cenozoic,Paleogene,Oligocene,,12180,3.71,Structural,Anticline
8,Paris,Faris,E,MIDDLE EAST,Iran,31,49.933333,B,Onshore,1964,Gas,Giant,3825,1130.96,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,,Cenozoic,Paleogene,Oligocene,,5000,1.52,Structural,Anticline
9,Serrablo,,C,WESTERN EUROPE,Spain,42.583333,0.4,B,Onshore,1979,Gas,Giant,583.333,253.658,4044,Pyrenean Foothills-Ebro Basin,BS000000743,SOUTH PYRENEAN,TYPE 2,CARBONATE,carbonate turbidite megabreccias,Cenozoic,Paleogene,Eocene,,6500,1.98,Structural,Anticline
10,Sui,,G,ASIA AND OCEANIA,Pakistan,28.65,69.2,B,Onshore,1952,Gas,Giant,1872.687,423.62,8025,Sulaiman-Kirthar,BS000000036,SULAIMAN FOLDBELT,TYPE 2,CARBONATE,limestone,Cenozoic,Paleogene,Eocene,,3675,1.12,Structural,Anticline
11,Uch,,G,ASIA AND OCEANIA,Pakistan,28.641667,68.620833,B,Onshore,1955,Gas,Giant,675,162.821,8025,Sulaiman-Kirthar,BS000000036,SULAIMAN FOLDBELT,TYPE 2,CARBONATE,limestone,Cenozoic,Paleogene,Eocene,,3281,1,Structural,Anticline
12,Bagadzhin,,D,EASTERN EUROPE AND FORMER USSR,Turkmenistan,39.333333,62.483333,B,Onshore,1971,Gas,Giant,1583.333,555.876,1154,Amu-Darya Basin,BS000000066,AMU-DAR'YA,TYPE 2,CARBONATE,,Mesozoic,Cretaceous,,,10100,3.08,Structural,Anticline
13,Kirpichlin,,D,EASTERN EUROPE AND FORMER USSR,Turkmenistan,40.0247,61.051925,A,Onshore,1972,Gas,Giant,1431.667,515.685,1154,Amu-Darya Basin,BS000000066,AMU-DAR'YA,TYPE 2,CARBONATE,,Mesozoic,Cretaceous,,,9900,3.02,Structural,Anticline
14,Mokhtar,,E,MIDDLE EAST,Iran,30.583333,51.5,B,Onshore,1992,Gas,Giant,657.5,425.608,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,,Mesozoic,Cretaceous,,,5003,1.53,Structural,Anticline
15,Qishm-Salag,,E,MIDDLE EAST,Iran,26.7,55.583333,B,Onshore,1961,Gas,Giant,1875,517.003,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,,Mesozoic,Cretaceous,,,10255,3.13,Structural,Anticline
16,Sarhun,,E,MIDDLE EAST,Iran,27.339656,56.427872,A,Onshore,1978,Gas,Giant,1166.667,493.356,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,,Mesozoic,Cretaceous,,,,,Structural,Anticline
17,Tang-i-bijar,,E,MIDDLE EAST,Iran,33.7,45.9,B,Onshore,1965,Gas,Giant,565,171.072,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,,Mesozoic,Cretaceous,,,4000,1.22,Structural,Anticline
18,Lacq,,C,WESTERN EUROPE,France,43.41667,-0.71667,B,Onshore,1951,Gas,Giant,1348.333,298.652,4044,Pyrenean Foothills-Ebro Basin,BS000000379,AQUITAINE,TYPE 2,CARBONATE,,Mesozoic,Cretaceous,,,13300,4.05,Structural,Anticline
19,Mellion-Rousse,,C,WESTERN EUROPE,France,43.25,-0.5,B,Onshore,1965,Gas,Giant,583.333,176.623,4044,Pyrenean Foothills-Ebro Basin,BS000000379,AQUITAINE,TYPE 2,CARBONATE,,Mesozoic,Cretaceous,,,14900,4.54,Structural,Anticline
20,Carthage,Cotton Valley,A,NORTH AMERICA,United States,32.623319,-94.395692,A,Onshore,1936,Gas,Giant,1050,172.698,5048,East Texas Basin,BS000000497,EAST TEXAS SALT,TYPE 1,CARBONATE,limestone,Mesozoic,Cretaceous,,,6000,1.83,Structural,Anticline
21,Monroe,,A,NORTH AMERICA,United States,32.5,-92,B,Onshore,1916,Gas,Giant,1203.333,138.37,5049,Louisiana-Mississippi Salt Basins,BS000000639,NORTH LOUISIANA SALT,TYPE 1,CARBONATE,limestone,Mesozoic,Cretaceous,,,2200,0.67,Structural,Anticline
22,Margham,,E,MIDDLE EAST,UAE,25.159061,55.432094,A,Onshore,1982,Gas,Giant,680.91,322.634,2019,Rub Al Khali Basin,BS000000033,RUB AL KHALI,TYPE 1,CARBONATE,limestone,Mesozoic,Cretaceous,,,10499,3.2,Structural,Anticline
23,Gugurtlinskoye,,D,EASTERN EUROPE AND FORMER USSR,Uzbekistan,40.216667,62.55,B,Onshore,1965,Gas,Giant,666.667,201.855,1154,Amu-Darya Basin,BS000000066,AMU-DAR'YA,TYPE 2,CARBONATE,limestone,Mesozoic,Cretaceous,,,3600,1.1,Structural,Anticline
24,Awali,Bahrain Field,E,MIDDLE EAST,Bahrain,26.06734,50.560639,A,Onshore,1932,Gas,Giant,2087.773,318.71,2021,Greater Ghawar Uplift,BS000000038,WIDYAN - NORTH ARABIAN GULF,TYPE 1,CARBONATE,limestone,Mesozoic,Cretaceous,Lower Cretaceous,,1800,0.55,Structural,Anticline
25,Dorra,,E,MIDDLE EAST,Divided Neutral Zone: Kuwait/Saudi Arabia,28.95,49.116667,B,Offshore,1967,Gas,Giant,1566.667,497.814,2024,Mesopotamian Foredeep Basin,BS000000038,WIDYAN - NORTH ARABIAN GULF,TYPE 1,CARBONATE,limestone,Mesozoic,Cretaceous,Lower Cretaceous,,9500,2.9,Structural,Anticline
26,Salman,,E,MIDDLE EAST,Iran,25.52778,53.11667,B,Offshore,1965,Gas,Giant,1638.167,496.009,2019,Rub Al Khali Basin,BS000000033,RUB AL KHALI,TYPE 1,CARBONATE,dolomite,Mesozoic,Jurassic,Upper Jurassic,,7840,2.39,Structural,Anticline
27,Tinat,,E,MIDDLE EAST,Saudi Arabia,23.805772,49.415481,A,Onshore,1982,Gas,Giant,891.667,422.496,2021,Greater Ghawar Uplift,BS000000038,WIDYAN - NORTH ARABIAN GULF,TYPE 1,CARBONATE,limestone,Mesozoic,Jurassic,Upper Jurassic,,5500,1.68,Structural,Anticline
28,Maydan Mahzam,,E,MIDDLE EAST,Qatar,25.6,52.55,B,Offshore,1963,Gas,Giant,1623.673,468.926,2019,Rub Al Khali Basin,BS000000033,RUB AL KHALI,TYPE 1,CARBONATE,dolomite,Mesozoic,Jurassic,Upper Jurassic,,6870,2.09,Structural,Anticline
29,Suhul,,E,MIDDLE EAST,Saudi Arabia,21.583333,53.183333,B,Onshore,1977,Gas,Giant,700,287.968,2019,Rub Al Khali Basin,BS000000033,RUB AL KHALI,TYPE 1,CARBONATE,limestone,Mesozoic,Jurassic,Upper Jurassic,,9800,2.99,Structural,Anticline
30,Khangiran,,E,MIDDLE EAST,Iran,36.566667,60.766667,A,Onshore,1968,Gas,Giant,2042.467,665.113,1154,Amu-Darya Basin,BS000000066,AMU-DAR'YA,TYPE 2,CARBONATE,limestone,Mesozoic,Jurassic,Upper Jurassic,,8737,2.66,Structural,Anticline
31,Bul Hanine,,E,MIDDLE EAST,Qatar,25.43333,52.7,B,Offshore,1965,Gas,Giant,2643.963,800.547,2019,Rub Al Khali Basin,BS000000033,RUB AL KHALI,TYPE 1,CARBONATE,shelly limestone,Mesozoic,Jurassic,Upper Jurassic,,7400,2.26,Structural,Anticline
32,Shurtan,Uzbekistan,D,EASTERN EUROPE AND FORMER USSR,Uzbekistan,38.966667,67.033333,B,Onshore,1974,Gas,Giant,2545.71,966.096,1154,Amu-Darya Basin,BS000000066,AMU-DAR'YA,TYPE 2,CARBONATE,coral limestone,Mesozoic,Jurassic,Upper Jurassic,,9515,2.9,Structural,Anticline
33,Abu Al Bukhoosh,Abu Koosh,E,MIDDLE EAST,UAE,25.49461,53.14973,B,Offshore,1969,Gas,Giant,1027.47,342.986,2019,Rub Al Khali Basin,BS000000033,RUB AL KHALI,TYPE 1,CARBONATE,limestone,Mesozoic,Jurassic,Upper Jurassic,,7850,2.39,Structural,Anticline
34,Dengizkul-Khauzak-Shady,,D,EASTERN EUROPE AND FORMER USSR,Uzbekistan,39.139639,64.509667,A,Onshore,1966,Gas,Giant,597.342,185.258,1154,Amu-Darya Basin,BS000000066,AMU-DAR'YA,TYPE 2,CARBONATE,limestone,Mesozoic,Jurassic,Upper Jurassic,,7598,2.32,Structural,Anticline
35,Satah,,E,MIDDLE EAST,UAE,24.916667,52.55,B,Offshore,1975,Gas,Giant,761.667,296.834,2019,Rub Al Khali Basin,BS000000033,RUB AL KHALI,TYPE 1,CARBONATE,,Mesozoic,Jurassic,Lower Jurassic,,12000,3.66,Structural,Anticline
36,Samantepe,,D,EASTERN EUROPE AND FORMER USSR,Uzbekistan,39.067683,64.320936,A,Onshore,1964,Gas,Giant,583.333,172.478,1154,Amu-Darya Basin,BS000000066,AMU-DAR'YA,TYPE 2,CARBONATE,,Mesozoic,Jurassic,Lower Jurassic,,7700,2.35,Structural,Anticline
37,Urtabalak,,D,EASTERN EUROPE AND FORMER USSR,Uzbekistan,38.998667,64.517072,A,Onshore,1963,Gas,Giant,598.333,172.802,1154,Amu-Darya Basin,BS000000066,AMU-DAR'YA,TYPE 2,CARBONATE,,Mesozoic,Jurassic,Lower Jurassic,,8200,2.5,Structural,Anticline
38,Beurdeshik,Buyerdeshik,D,EASTERN EUROPE AND FORMER USSR,Tajikistan,39.75,68.766667,B,Onshore,1969,Gas,Giant,500,166.908,1158,Tian Shan Foldbelt,BS000000069,FERGANA,TYPE 2,CARBONATE,,Mesozoic,Jurassic,Lower Jurassic,,4920,1.5,Structural,Anticline
39,Assaluyeh,,E,MIDDLE EAST,Iran,27.522772,52.584689,A,Onshore,1988,Gas,Giant,666.667,378.995,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,,Mesozoic,Triassic,Upper Triassic,,7218,2.2,Structural,Anticline
40,Shanul,,E,MIDDLE EAST,Iran,27.701908,53.219256,A,Onshore,1995,Gas,Giant,1058.333,758.746,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,,Mesozoic,Triassic,Upper Triassic,,9843,3,Structural,Anticline
41,Huangkuanshan,,G,ASIA AND OCEANIA,China,29.191781,105.839039,A,Onshore,1955,Gas,Giant,833.333,201.013,3142,Sichuan Basin,BS000000244,SICHUAN,TYPE 3,CARBONATE,,Mesozoic,Triassic,Upper Triassic,,3000,0.91,Structural,Anticline
42,Aghar,,E,MIDDLE EAST,Iran,28.584819,52.807297,A,Onshore,1974,Gas,Giant,1493.167,566.656,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,dolomitic limestone,Mesozoic,Triassic,Upper Triassic,,7500,2.29,Structural,Anticline
43,Kuh-I-Mund,,E,MIDDLE EAST,Iran,28.392267,51.240033,B,Onshore,1974,Gas,Giant,2013.333,764.059,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,limestone,Mesozoic,Triassic,Upper Triassic,,11788,3.59,Structural,Anticline
44,Nar,,E,MIDDLE EAST,Iran,27.783333,52.3,B,Onshore,1975,Gas,Giant,2333.333,909.338,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,,Mesozoic,Triassic,Middle Triassic,,6900,2.1,Structural,Anticline
45,Kabir Kuh,,E,MIDDLE EAST,Iran,33.422461,46.728028,B,Onshore,1973,Gas,Giant,933.333,345.022,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,limestone,Paleozoic,Permian,Lopingian,,7720,2.35,Structural,Anticline
46,Vuktyl,,D,EASTERN EUROPE AND FORMER USSR,Russia,63.584164,57.271992,A,Onshore,1964,Gas,Giant,742.933,219.667,1008,Timan-Pechora Basin,BS000000772,TIMAN - PECHORA,TYPE 2,CARBONATE,limestone,Paleozoic,Permian,Guadalupian,,6890,2.1,Structural,Anticline
47,Layavozh,,D,EASTERN EUROPE AND FORMER USSR,Russia,67.6,55.083333,B,Onshore,1969,Gas,Giant,857.258,286.167,1008,Timan-Pechora Basin,BS000000772,TIMAN - PECHORA,TYPE 2,CARBONATE,limestone,Paleozoic,Permian,Cisuralian,,7293,2.22,Structural,Anticline
48,Mazunin,,D,EASTERN EUROPE AND FORMER USSR,Russia,57.19465,56.666075,A,Onshore,1960,Gas,Giant,2250,606.407,1015,Volga-Ural Region,BS000000801,VOLGA - URALS,TYPE 2,CARBONATE,,Paleozoic,Carboniferous,Mississippian,,5000,1.52,Structural,Anticline
49,Tazhong,,G,ASIA AND OCEANIA,China,38.807717,83.927964,A,Onshore,1989,Gas,Giant,770,451.884,3154,Tarim Basin,BS000000078,TARIM,TYPE 2,CARBONATE,sandy dolomite,Paleozoic,Carboniferous,Mississippian,,11699,3.57,Structural,Anticline
50,Puckett,,A,NORTH AMERICA,United States,30.666667,-102.5,A,Onshore,1952,Gas,Giant,500,113.105,5044,Permian Basin,BS000000609,MIDLAND - PERMIAN,TYPE 2,CARBONATE,dolomite,Paleozoic,Ordovician,Upper Ordovician,,13370,4.08,Structural,Anticline
51,Jabal Fauqui,Fakkeh,E,MIDDLE EAST,Iraq,32,47.65,B,Onshore,1974,Oil,Giant,1000,379.5,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,,Cenozoic,Neogene,Miocene,,10000,3.05,Structural,Anticline
52,Buzurgan,,E,MIDDLE EAST,Iraq,32.266667,47.233333,B,Onshore,1970,Oil,Giant,1980,677.735,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,limestone,Cenozoic,Neogene,Miocene,,10000,3.05,Structural,Anticline
53,Parsi,,E,MIDDLE EAST,Iran,30.99952,49.97303,B,Onshore,1964,Oil,Supergiant,5333.083,1576.863,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,limestone,Cenozoic,Neogene,Miocene,,2750,0.84,Structural,Anticline
54,"Bassein, North",,G,ASIA AND OCEANIA,India,19.316667,72,B,Offshore,1976,Oil,Giant,550,220.185,8043,Bombay,BS000000028,MUMBAI - SAURASHTRA,TYPE 2,CARBONATE,limestone,Cenozoic,Neogene,Miocene,,5700,1.74,Structural,Anticline
55,Abu Ghirab,,E,MIDDLE EAST,Iraq,32.369903,47.403581,A,Onshore,1971,Oil,Giant,1135.333,398.592,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,,Cenozoic,Paleogene,Oligocene,,9810,2.99,Structural,Anticline
56,Lab-E-Safid,,E,MIDDLE EAST,Iran,32.661925,48.644081,A,Onshore,1969,Oil,Giant,990.907,330.78,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,,Cenozoic,Paleogene,Oligocene,,4800,1.46,Structural,Anticline
57,Marun,,E,MIDDLE EAST,Iran,31.04165,49.396658,A,Onshore,1964,Oil,Supergiant,34508.102,10203.208,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,,Cenozoic,Paleogene,Oligocene,,7200,2.2,Structural,Anticline
58,Jambur,,E,MIDDLE EAST,Iraq,35.125197,44.569606,A,Onshore,1954,Oil,Giant,4633.333,1093.758,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,dolomitic limestone,Cenozoic,Paleogene,Oligocene,,4200,1.28,Structural,Anticline
59,Ajil,Previously Saddam,E,MIDDLE EAST,Iraq,34.876244,43.981506,A,Onshore,1978,Oil,Giant,916.667,387.637,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 1,CARBONATE,limestone,Cenozoic,Paleogene,Oligocene,,2408,0.73,Structural,Anticline
60,Bai Hassan,,E,MIDDLE EAST,Iraq,35.663097,44.038869,A,Onshore,1953,Oil,Giant,2266.667,523.743,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,limestone,Cenozoic,Paleogene,Oligocene,,1750,0.53,Structural,Anticline
61,Halfayah,,E,MIDDLE EAST,Iraq,31.66531,47.4833,B,Onshore,1976,Oil,Giant,4726.667,1892.261,2024,Mesopotamian Foredeep Basin,BS000000038,WIDYAN - NORTH ARABIAN GULF,TYPE 2,CARBONATE,limestone,Cenozoic,Paleogene,Oligocene,,2408,0.73,Structural,Anticline
62,Khabbaz,,E,MIDDLE EAST,Iraq,35.465267,44.213931,A,Onshore,1985,Oil,Giant,2500,1295.17,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,limestone,Cenozoic,Paleogene,Oligocene,,,,Structural,Anticline
63,Bibi Hakimeh,,E,MIDDLE EAST,Iran,30.195278,50.382192,A,Onshore,1961,Oil,Supergiant,7595.318,2094.293,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,limestone,Cenozoic,Paleogene,Oligocene,,1100,0.34,Structural,Anticline
64,Gachsaran,,E,MIDDLE EAST,Iran,30.22009,50.80627,B,Onshore,1928,Oil,Supergiant,21430.025,3041.334,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,limestone,Cenozoic,Paleogene,Oligocene,,425,0.13,Structural,Anticline
65,Naft Safid,,E,MIDDLE EAST,Iran,31.66889,49.26333,B,Onshore,1938,Oil,Giant,1303.382,222.666,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,limestone,Cenozoic,Paleogene,Oligocene,,2400,0.73,Structural,Anticline
66,Nargesi,,E,MIDDLE EAST,Iran,29.488281,51.297853,A,Onshore,1980,Oil,Giant,500,223.652,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,limestone,Cenozoic,Paleogene,Oligocene,,,,Structural,Anticline
67,Masjid-i-Sulemain,,E,MIDDLE EAST,Iran,31.994664,49.268169,A,Onshore,1908,Oil,Giant,1469,147.655,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,,Cenozoic,Paleogene,Oligocene,,1600,0.49,Structural,Anticline
68,Kirkuk,,E,MIDDLE EAST,Iraq,35.700567,44.09711,B,Onshore,1927,Oil,Supergiant,26370,3675.674,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,,Cenozoic,Paleogene,Oligocene,,2800,0.85,Structural,Anticline
69,Gialo,Jalu,F,AFRICA,Libya,28.68667,21.40278,A,Onshore,1961,Oil,Giant,1135.473,313.089,2043,Sirte Basin,BS000000014,SIRTE,TYPE 1,CARBONATE,limestone,Cenozoic,Paleogene,Eocene,,2750,0.84,Structural,Anticline
70,Bouri,NC041-B,F,AFRICA,Libya,33.90364,12.50614,B,Offshore,1977,Oil,Giant,532.6,219.103,2048,Pelagian Basin,BS000000011,PELAGIAN,TYPE 1,CARBONATE,,Cenozoic,Paleogene,Paleocene,,7750,2.36,Structural,Anticline
71,Nasser,Originally Zelten,F,AFRICA,Libya,28.912897,19.769944,A,Onshore,1959,Oil,Giant,631.667,166.439,2043,Sirte Basin,BS000000014,SIRTE,TYPE 1,CARBONATE,limestone,Cenozoic,Paleogene,Paleocene,,4975,1.52,Structural,Anticline
72,Defa,Daffah,F,AFRICA,Libya,28.05975,19.898708,A,Onshore,1960,Oil,Giant,1096.62,295.555,2043,Sirte Basin,BS000000014,SIRTE,TYPE 1,CARBONATE,argillaceous limestone,Cenozoic,Paleogene,Paleocene,,4700,1.43,Structural,Anticline
73,Eldfisk,,C,WESTERN EUROPE,Norway,56.433333,3.2,B,Offshore,1970,Oil,Giant,1002,342.975,4025,North Sea Graben,BS000000488,CENTRAL GRABEN,TYPE 1,CARBONATE,,Cenozoic,Paleogene,Paleocene,,9000,2.74,Structural,Anticline
74,Bahi,,F,AFRICA,Libya,29.789828,17.550275,A,Onshore,1958,Oil,Giant,600,154.595,2043,Sirte Basin,BS000000014,SIRTE,TYPE 1,CARBONATE,,Cenozoic,Paleogene,Paleocene,,6000,1.83,Structural,Anticline
75,Waha,,F,AFRICA,Libya,28.298611,19.921503,A,Onshore,1960,Oil,Giant,1400,377.32,2043,Sirte Basin,BS000000014,SIRTE,TYPE 1,CARBONATE,,Cenozoic,Paleogene,Paleocene,,6600,2.01,Structural,Anticline
76,Beda,,F,AFRICA,Libya,28.362322,19.016917,A,Onshore,1959,Oil,Giant,732.107,192.904,2043,Sirte Basin,BS000000014,SIRTE,TYPE 1,CARBONATE,limestone,Cenozoic,Paleogene,Paleocene,,3310,1.01,Structural,Anticline
77,Shah,"With Asab, replaces Abu Jidu",E,MIDDLE EAST,UAE,22.93675,53.84903,A,Onshore,1966,Oil,Giant,900,279.124,2019,Rub Al Khali Basin,BS000000033,RUB AL KHALI,TYPE 1,CARBONATE,,Mesozoic,Cretaceous,Upper Cretaceous,,3650,1.11,Structural,Anticline
78,"Baghdad, West",,E,MIDDLE EAST,Iraq,33.45,43.6,B,Onshore,1958,Oil,Giant,1023.333,263.67,2024,Mesopotamian Foredeep Basin,BS000000038,WIDYAN - NORTH ARABIAN GULF,TYPE 1,CARBONATE,dolomitic limestone,Mesozoic,Cretaceous,Upper Cretaceous,,2385,0.73,Structural,Anticline
79,Suwaidiyah,Souedie,E,MIDDLE EAST,Syria,36.93333,42.13333,B,Onshore,1959,Oil,Giant,753.433,198.523,2030,Zagros Fold Belt,BS000000035,SOUTHEAST TURKEY FOLDBELT,TYPE 1,CARBONATE,dolomitic limestone,Mesozoic,Cretaceous,Upper Cretaceous,,4429,1.35,Structural,Anticline
80,Augila-Nafoora,,F,AFRICA,Libya,29.186744,21.4302,A,Onshore,1956,Oil,Giant,1083.5,267.113,2043,Sirte Basin,BS000000014,SIRTE,TYPE 1,CARBONATE,limestone,Mesozoic,Cretaceous,Upper Cretaceous,,8250,2.52,Structural,Anticline
81,Lawhah,,E,MIDDLE EAST,Saudi Arabia,28.25272,49.61814,B,Offshore,1975,Oil,Giant,1283.333,500.136,2024,Mesopotamian Foredeep Basin,BS000000038,WIDYAN - NORTH ARABIAN GULF,TYPE 1,CARBONATE,limestone,Mesozoic,Cretaceous,Upper Cretaceous,,5000,1.52,Structural,Anticline
82,Ahdab,,E,MIDDLE EAST,Iraq,32.46667,45.66667,B,Onshore,1979,Oil,Giant,516.667,224.668,2024,Mesopotamian Foredeep Basin,BS000000039,ZAGROS FOLDBELT,TYPE 1,CARBONATE,limestone,Mesozoic,Cretaceous,Upper Cretaceous,,8038,2.45,Structural,Anticline
83,Ab-E-Teimur,Ab-Teymour,E,MIDDLE EAST,Iran,31.216519,48.496725,A,Onshore,1968,Oil,Giant,2600,846.669,2024,Mesopotamian Foredeep Basin,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,limestone,Mesozoic,Cretaceous,Upper Cretaceous,,10700,3.26,Structural,Anticline
84,Fateh,,E,MIDDLE EAST,UAE,25.6,54.433333,B,Offshore,1966,Oil,Giant,3900,1209.539,2019,Rub Al Khali Basin,BS000000033,RUB AL KHALI,TYPE 1,CARBONATE,,Mesozoic,Cretaceous,Upper Cretaceous,,7906,2.41,Structural,Anticline
85,Tuba,,E,MIDDLE EAST,Iraq,30.394825,47.497981,A,Onshore,1959,Oil,Giant,1588.333,418.513,2024,Mesopotamian Foredeep Basin,BS000000038,WIDYAN - NORTH ARABIAN GULF,TYPE 1,CARBONATE,dolomite,Mesozoic,Cretaceous,Upper Cretaceous,,7585,2.31,Structural,Anticline
86,Majnoon,,E,MIDDLE EAST,Iraq,31.035483,47.624975,A,Onshore,1977,Oil,Supergiant,14833.333,13000,2024,Mesopotamian Foredeep Basin,BS000000038,WIDYAN - NORTH ARABIAN GULF,TYPE 2,CARBONATE,limestone,Mesozoic,Cretaceous,Upper Cretaceous,,7874,2.4,Structural,Anticline
87,Nasiryah,,E,MIDDLE EAST,Iraq,31.32323,46.01106,B,Onshore,1978,Oil,Giant,2620,1107.938,2024,Mesopotamian Foredeep Basin,BS000000038,WIDYAN - NORTH ARABIAN GULF,TYPE 1,CARBONATE,limestone,Mesozoic,Cretaceous,Upper Cretaceous,,6516,1.99,Structural,Anticline
88,Ratawi,,E,MIDDLE EAST,Iraq,30.563989,47.0985,A,Onshore,1950,Oil,Giant,3246.667,704.267,2024,Mesopotamian Foredeep Basin,BS000000038,WIDYAN - NORTH ARABIAN GULF,TYPE 1,CARBONATE,limestone,Mesozoic,Cretaceous,Upper Cretaceous,,7018,2.14,Structural,Anticline
